index,status,success,timestamp,numTrials,labname,uid
7,ready,0,2020-04-17 05:19:02.744528,1,project1,user_4
9,ready,1,2020-04-17 05:22:45.549397,2,project1,user_4
11,ready,1,2020-04-17 05:34:24.422370,3,project1,user_4
13,ready,0,2020-04-17 05:43:27.773992,4,project1,user_4
15,ready,1,2020-04-17 05:46:32.275104,5,project1,user_4
17,ready,1,2020-04-17 05:50:27.860908,6,project1,user_4
19,ready,1,2020-04-17 05:52:56.335091,7,project1,user_4
21,ready,0,2020-04-17 11:33:17.366400,1,laba04,user_4
23,ready,0,2020-04-17 11:40:05.237273,2,laba04,user_4
25,ready,1,2020-04-17 11:44:20.707058,3,laba04,user_4
27,ready,0,2020-04-17 11:48:41.992466,1,laba04s,user_4
29,ready,1,2020-04-17 11:50:11.456634,2,laba04s,user_4
31,ready,1,2020-04-17 12:46:12.054682,3,laba04s,user_4
33,ready,0,2020-04-18 07:56:45.408648,1,project1,user_17
35,ready,1,2020-04-18 13:36:53.971502,1,laba04,user_30
37,ready,1,2020-04-18 13:42:35.482008,1,laba04,user_2
39,ready,0,2020-04-18 13:51:22.291271,1,laba04s,user_2
41,ready,1,2020-04-18 13:53:17.423114,2,laba04s,user_2
43,ready,1,2020-04-18 14:30:59.279089,3,laba04s,user_2
45,ready,1,2020-04-18 14:51:37.498399,1,laba04s,user_30
47,ready,1,2020-04-18 15:13:27.655666,4,laba04s,user_2
49,ready,0,2020-04-18 15:14:00.312338,1,laba04,user_14
51,ready,0,2020-04-18 15:20:33.198766,2,laba04,user_14
53,ready,0,2020-04-18 15:24:12.047491,3,laba04,user_14
55,ready,0,2020-04-18 15:24:53.299514,4,laba04,user_14
57,ready,0,2020-04-18 15:30:17.096916,5,laba04,user_14
59,ready,0,2020-04-18 15:33:14.440380,6,laba04,user_14
61,ready,1,2020-04-18 15:33:20.565406,5,laba04s,user_2
63,ready,0,2020-04-18 15:34:22.274256,7,laba04,user_14
65,ready,0,2020-04-18 15:35:48.841969,8,laba04,user_14
67,ready,0,2020-04-18 15:45:13.236352,9,laba04,user_14
69,ready,0,2020-04-18 15:46:15.473674,10,laba04,user_14
71,ready,0,2020-04-18 15:49:49.293560,11,laba04,user_14
73,ready,0,2020-04-18 17:07:51.767358,1,laba04,user_12
75,ready,0,2020-04-18 17:32:52.474915,2,laba04,user_12
77,ready,0,2020-04-18 17:34:09.414675,3,laba04,user_12
79,ready,1,2020-04-18 17:38:05.714027,4,laba04,user_12
81,ready,0,2020-04-18 18:10:35.687654,12,laba04,user_14
83,ready,1,2020-04-18 18:12:36.913229,6,laba04s,user_2
85,ready,0,2020-04-18 18:47:11.295818,13,laba04,user_14
87,ready,0,2020-04-18 18:58:31.263729,14,laba04,user_14
89,ready,0,2020-04-18 19:25:59.869852,15,laba04,user_14
91,ready,0,2020-04-18 19:38:12.034655,16,laba04,user_14
93,ready,1,2020-04-18 19:51:12.195982,7,laba04s,user_2
95,ready,1,2020-04-18 20:01:14.446476,17,laba04,user_14
97,ready,1,2020-04-18 20:01:24.594980,18,laba04,user_14
99,ready,1,2020-04-18 21:30:51.210546,8,laba04s,user_2
101,ready,1,2020-04-18 21:42:46.277260,19,laba04,user_14
103,ready,1,2020-04-18 21:53:36.058389,1,laba04,user_8
105,ready,0,2020-04-18 22:30:30.247628,1,laba04s,user_14
107,ready,0,2020-04-18 22:31:47.891803,2,laba04s,user_14
109,ready,0,2020-04-18 22:34:00.329787,3,laba04s,user_14
111,ready,1,2020-04-19 00:23:16.647685,4,laba04s,user_14
113,ready,1,2020-04-19 05:29:40.744326,9,laba04s,user_2
115,ready,1,2020-04-19 09:09:11.975322,5,laba04s,user_14
117,ready,1,2020-04-19 10:06:52.904266,6,laba04s,user_14
119,ready,1,2020-04-19 10:08:25.007910,2,laba04,user_8
121,ready,1,2020-04-19 10:22:35.761944,1,laba04s,user_8
123,ready,1,2020-04-19 10:49:11.701230,2,laba04s,user_8
125,ready,1,2020-04-19 11:10:55.722647,1,laba04,user_29
127,ready,1,2020-04-19 11:14:41.571331,3,laba04s,user_8
129,ready,1,2020-04-19 11:37:32.410857,4,laba04s,user_8
131,ready,1,2020-04-19 13:27:18.287766,5,laba04s,user_8
133,ready,1,2020-04-19 13:32:39.358479,6,laba04s,user_8
135,ready,0,2020-04-19 18:55:41.516438,1,laba04s,user_29
137,ready,1,2020-04-19 18:56:05.607729,2,laba04s,user_29
139,ready,0,2020-04-19 21:31:52.735404,8,project1,user_4
141,ready,0,2020-04-19 21:37:36.292793,9,project1,user_4
143,ready,0,2020-04-19 21:42:53.962774,10,project1,user_4
145,ready,1,2020-04-19 21:46:08.395123,11,project1,user_4
